movie,year,imdb,metascore,votes
Johnny English,-2003,6.2,51,143715
Cold Mountain,-2003,7.2,73,137109
S.W.A.T.,-2003,6,45,135427
Good Bye Lenin!,-2003,7.7,68,134681
Scary Movie 3,-2003,5.5,49,134257
Dogville,-2003,8,60,133644
Monster,-2003,7.3,74,131457
Bad Santa,-2003,7,70,131301
The Recruit,-2003,6.6,56,127455
Lara Croft Tomb Raider: The Cradle of Life,-2003,5.5,43,127361
The Texas Chainsaw Massacre,-2003,6.2,38,127278
Salinui chueok,-2003,8.1,82,124146
Matchstick Men,-2003,7.3,61,121393
Freaky Friday,-2003,6.1,70,121233
Charlie's Angels: Full Throttle,-2003,4.9,48,118431
The Lord of the Rings: The Return of the King,-2003,8.9,94,1589479
Pirates of the Caribbean: The Curse of the Black Pearl,-2003,8,63,995697
Kill Bill: Vol. 1,-2003,8.1,69,967525
Finding Nemo,-2003,8.1,90,919671
The Matrix Reloaded,-2003,7.2,62,501825
X2,-2003,7.4,68,500835
Oldeuboi,-2003,8.4,77,494841
The Matrix Revolutions,-2003,6.8,47,435859
Love Actually,-2003,7.6,55,413078
Mystic River,-2003,7.9,84,407965
Big Fish,-2003,8,58,405164
Lost in Translation,-2003,7.7,89,397263
The Last Samurai,-2003,7.7,55,388274
Terminator 3: Rise of the Machines,-2003,6.3,66,369311
Bruce Almighty,-2003,6.8,46,362736
The Italian Job,-2003,7,68,334875
The School of Rock,-2003,7.1,82,259379
Underworld,-2003,7,42,247778
Hulk,-2003,5.6,54,247398
2 Fast 2 Furious,-2003,5.9,38,244417
Bad Boys II,-2003,6.6,38,225236
Identity,-2003,7.3,64,220402
21 Grams,-2003,7.7,70,220023
Old School,-2003,7.1,54,210303
Elf,-2003,6.9,64,210068
Daredevil,-2003,5.3,42,203241
How to Lose a Guy in 10 Days,-2003,6.4,45,202695
Anger Management,-2003,6.3,52,199220
Master and Commander: The Far Side of the World,-2003,7.4,81,196553
American Wedding,-2003,6.3,43,190181
The League of Extraordinary Gentlemen,-2003,5.8,30,163380
Once Upon a Time in Mexico,-2003,6.4,56,150689
Final Destination 2,-2003,6.2,38,148098
Johnny English,-2003,6.2,51,143715
Cold Mountain,-2003,7.2,73,137109
S.W.A.T.,-2003,6,45,135427
Good Bye Lenin!,-2003,7.7,68,134681
Scary Movie 3,-2003,5.5,49,134257
Dogville,-2003,8,60,133644
Monster,-2003,7.3,74,131457
Bad Santa,-2003,7,70,131301
The Recruit,-2003,6.6,56,127455
Lara Croft Tomb Raider: The Cradle of Life,-2003,5.5,43,127361
The Texas Chainsaw Massacre,-2003,6.2,38,127278
Salinui chueok,-2003,8.1,82,124146
Matchstick Men,-2003,7.3,61,121393
Freaky Friday,-2003,6.1,70,121233
Charlie's Angels: Full Throttle,-2003,4.9,48,118431
The Lord of the Rings: The Return of the King,-2003,8.9,94,1589479
Pirates of the Caribbean: The Curse of the Black Pearl,-2003,8,63,995697
Kill Bill: Vol. 1,-2003,8.1,69,967525
Finding Nemo,-2003,8.1,90,919671
The Matrix Reloaded,-2003,7.2,62,501825
X2,-2003,7.4,68,500835
Oldeuboi,-2003,8.4,77,494841
The Matrix Revolutions,-2003,6.8,47,435859
Love Actually,-2003,7.6,55,413078
Mystic River,-2003,7.9,84,407965
Big Fish,-2003,8,58,405164
Lost in Translation,-2003,7.7,89,397263
The Last Samurai,-2003,7.7,55,388274
Terminator 3: Rise of the Machines,-2003,6.3,66,369311
Bruce Almighty,-2003,6.8,46,362736
The Italian Job,-2003,7,68,334875
The School of Rock,-2003,7.1,82,259379
Underworld,-2003,7,42,247778
Hulk,-2003,5.6,54,247398
2 Fast 2 Furious,-2003,5.9,38,244417
Bad Boys II,-2003,6.6,38,225236
Identity,-2003,7.3,64,220402
21 Grams,-2003,7.7,70,220023
Old School,-2003,7.1,54,210303
Elf,-2003,6.9,64,210068
Daredevil,-2003,5.3,42,203241
How to Lose a Guy in 10 Days,-2003,6.4,45,202695
Anger Management,-2003,6.3,52,199220
Master and Commander: The Far Side of the World,-2003,7.4,81,196553
American Wedding,-2003,6.3,43,190181
The League of Extraordinary Gentlemen,-2003,5.8,30,163380
Once Upon a Time in Mexico,-2003,6.4,56,150689
Final Destination 2,-2003,6.2,38,148098
Johnny English,-2003,6.2,51,143715
Cold Mountain,-2003,7.2,73,137109
S.W.A.T.,-2003,6,45,135427
Good Bye Lenin!,-2003,7.7,68,134681
Scary Movie 3,-2003,5.5,49,134257
Dogville,-2003,8,60,133644
Monster,-2003,7.3,74,131457
Bad Santa,-2003,7,70,131301
The Recruit,-2003,6.6,56,127455
Lara Croft Tomb Raider: The Cradle of Life,-2003,5.5,43,127361
The Texas Chainsaw Massacre,-2003,6.2,38,127278
Salinui chueok,-2003,8.1,82,124146
Matchstick Men,-2003,7.3,61,121393
Freaky Friday,-2003,6.1,70,121233
Charlie's Angels: Full Throttle,-2003,4.9,48,118431
Eternal Sunshine of the Spotless Mind,-2004,8.3,89,879704
Kill Bill: Vol. 2,-2004,8,83,661478
The Incredibles,-2004,8,90,637453
Million Dollar Baby,-2004,8.1,86,617155
Spider-Man 2,-2004,7.3,83,528098
Harry Potter and the Prisoner of Azkaban,-2004,7.9,82,526531
The Notebook,-2004,7.8,53,502447
Shaun of the Dead,-2004,7.9,76,498000
"I, Robot",-2004,7.1,59,487320
Troy,-2004,7.2,56,475922
The Butterfly Effect,-2004,7.6,30,440991
The Bourne Supremacy,-2004,7.7,73,424033
Crash,(I) (2004),7.8,66,412943
Shrek 2,-2004,7.2,75,406439
The Day After Tomorrow,-2004,6.4,47,405447
The Terminal,-2004,7.4,55,391432
Saw,-2004,7.6,46,368906
Collateral,-2004,7.5,71,349230
Ocean's Twelve,-2004,6.5,58,348447
The Machinist,-2004,7.7,61,347685
Hotel Rwanda,-2004,8.1,79,326768
The Aviator,-2004,7.5,77,324322
Anchorman: The Legend of Ron Burgundy,-2004,7.2,63,321939
Der Untergang,-2004,8.2,82,321766
Man on Fire,-2004,7.7,47,321265
Mean Girls,-2004,7,66,320568
50 First Dates,-2004,6.8,48,317985
Hauru no ugoku shiro,-2004,8.2,80,311644
Hellboy,-2004,6.8,72,301040
National Treasure,-2004,6.8,39,297185
Meet the Fockers,-2004,6.3,41,247127
Van Helsing,-2004,6.1,35,238954
The Village,-2004,6.5,44,236956
Dawn of the Dead,-2004,7.3,59,228958
Before Sunset,-2004,8,90,225164
Dodgeball: A True Underdog Story,-2004,6.7,55,223687
The Passion of the Christ,-2004,7.2,47,211197
The Chronicles of Riddick,-2004,6.7,38,210885
Garden State,-2004,7.4,67,204553
Closer,(I) (2004),7.2,65,198402
The Girl Next Door,-2004,6.7,47,197009
Finding Neverland,-2004,7.7,67,195389
Napoleon Dynamite,-2004,6.9,64,193290
A Series of Unfortunate Events,-2004,6.8,62,191690
EuroTrip,-2004,6.6,45,189946
Resident Evil: Apocalypse,-2004,6.2,35,182334
AVP: Alien vs. Predator,-2004,5.6,29,180568
Harold & Kumar Go to White Castle,-2004,7.1,64,178370
Eternal Sunshine of the Spotless Mind,-2004,8.3,89,879704
Kill Bill: Vol. 2,-2004,8,83,661478
The Incredibles,-2004,8,90,637453
Million Dollar Baby,-2004,8.1,86,617155
Spider-Man 2,-2004,7.3,83,528098
Harry Potter and the Prisoner of Azkaban,-2004,7.9,82,526531
The Notebook,-2004,7.8,53,502447
Shaun of the Dead,-2004,7.9,76,498000
"I, Robot",-2004,7.1,59,487320
Troy,-2004,7.2,56,475922
The Butterfly Effect,-2004,7.6,30,440991
The Bourne Supremacy,-2004,7.7,73,424033
Crash,(I) (2004),7.8,66,412943
Shrek 2,-2004,7.2,75,406439
The Day After Tomorrow,-2004,6.4,47,405447
The Terminal,-2004,7.4,55,391432
Saw,-2004,7.6,46,368906
Collateral,-2004,7.5,71,349230
Ocean's Twelve,-2004,6.5,58,348447
The Machinist,-2004,7.7,61,347685
Hotel Rwanda,-2004,8.1,79,326768
The Aviator,-2004,7.5,77,324322
Anchorman: The Legend of Ron Burgundy,-2004,7.2,63,321939
Der Untergang,-2004,8.2,82,321766
Man on Fire,-2004,7.7,47,321265
Mean Girls,-2004,7,66,320568
50 First Dates,-2004,6.8,48,317985
Hauru no ugoku shiro,-2004,8.2,80,311644
Hellboy,-2004,6.8,72,301040
National Treasure,-2004,6.8,39,297185
Meet the Fockers,-2004,6.3,41,247127
Van Helsing,-2004,6.1,35,238954
The Village,-2004,6.5,44,236956
Dawn of the Dead,-2004,7.3,59,228958
Before Sunset,-2004,8,90,225164
Dodgeball: A True Underdog Story,-2004,6.7,55,223687
The Passion of the Christ,-2004,7.2,47,211197
The Chronicles of Riddick,-2004,6.7,38,210885
Garden State,-2004,7.4,67,204553
Closer,(I) (2004),7.2,65,198402
The Girl Next Door,-2004,6.7,47,197009
Finding Neverland,-2004,7.7,67,195389
Napoleon Dynamite,-2004,6.9,64,193290
A Series of Unfortunate Events,-2004,6.8,62,191690
EuroTrip,-2004,6.6,45,189946
Resident Evil: Apocalypse,-2004,6.2,35,182334
AVP: Alien vs. Predator,-2004,5.6,29,180568
Harold & Kumar Go to White Castle,-2004,7.1,64,178370
Eternal Sunshine of the Spotless Mind,-2004,8.3,89,879704
Kill Bill: Vol. 2,-2004,8,83,661478
The Incredibles,-2004,8,90,637453
Million Dollar Baby,-2004,8.1,86,617155
Spider-Man 2,-2004,7.3,83,528098
Harry Potter and the Prisoner of Azkaban,-2004,7.9,82,526531
The Notebook,-2004,7.8,53,502447
Shaun of the Dead,-2004,7.9,76,498000
"I, Robot",-2004,7.1,59,487320
Troy,-2004,7.2,56,475922
The Butterfly Effect,-2004,7.6,30,440991
The Bourne Supremacy,-2004,7.7,73,424033
Crash,(I) (2004),7.8,66,412943
Shrek 2,-2004,7.2,75,406439
The Day After Tomorrow,-2004,6.4,47,405447
The Terminal,-2004,7.4,55,391432
Saw,-2004,7.6,46,368906
Collateral,-2004,7.5,71,349230
Ocean's Twelve,-2004,6.5,58,348447
The Machinist,-2004,7.7,61,347685
Hotel Rwanda,-2004,8.1,79,326768
The Aviator,-2004,7.5,77,324322
Anchorman: The Legend of Ron Burgundy,-2004,7.2,63,321939
Der Untergang,-2004,8.2,82,321766
Man on Fire,-2004,7.7,47,321265
Mean Girls,-2004,7,66,320568
50 First Dates,-2004,6.8,48,317985
Hauru no ugoku shiro,-2004,8.2,80,311644
Hellboy,-2004,6.8,72,301040
National Treasure,-2004,6.8,39,297185
Meet the Fockers,-2004,6.3,41,247127
Van Helsing,-2004,6.1,35,238954
The Village,-2004,6.5,44,236956
Dawn of the Dead,-2004,7.3,59,228958
Before Sunset,-2004,8,90,225164
Dodgeball: A True Underdog Story,-2004,6.7,55,223687
The Passion of the Christ,-2004,7.2,47,211197
The Chronicles of Riddick,-2004,6.7,38,210885
Garden State,-2004,7.4,67,204553
Closer,(I) (2004),7.2,65,198402
The Girl Next Door,-2004,6.7,47,197009
Finding Neverland,-2004,7.7,67,195389
Napoleon Dynamite,-2004,6.9,64,193290
A Series of Unfortunate Events,-2004,6.8,62,191690
EuroTrip,-2004,6.6,45,189946
Resident Evil: Apocalypse,-2004,6.2,35,182334
AVP: Alien vs. Predator,-2004,5.6,29,180568
Harold & Kumar Go to White Castle,-2004,7.1,64,178370
Eternal Sunshine of the Spotless Mind,-2004,8.3,89,879704
Kill Bill: Vol. 2,-2004,8,83,661478
The Incredibles,-2004,8,90,637453
Million Dollar Baby,-2004,8.1,86,617155
Spider-Man 2,-2004,7.3,83,528098
Harry Potter and the Prisoner of Azkaban,-2004,7.9,82,526531
The Notebook,-2004,7.8,53,502447
Shaun of the Dead,-2004,7.9,76,498000
"I, Robot",-2004,7.1,59,487320
Troy,-2004,7.2,56,475922
The Butterfly Effect,-2004,7.6,30,440991
The Bourne Supremacy,-2004,7.7,73,424033
Crash,(I) (2004),7.8,66,412943
Shrek 2,-2004,7.2,75,406439
The Day After Tomorrow,-2004,6.4,47,405447
The Terminal,-2004,7.4,55,391432
Saw,-2004,7.6,46,368906
Collateral,-2004,7.5,71,349230
Ocean's Twelve,-2004,6.5,58,348447
The Machinist,-2004,7.7,61,347685
Hotel Rwanda,-2004,8.1,79,326768
The Aviator,-2004,7.5,77,324322
Anchorman: The Legend of Ron Burgundy,-2004,7.2,63,321939
Der Untergang,-2004,8.2,82,321766
Man on Fire,-2004,7.7,47,321265
Mean Girls,-2004,7,66,320568
50 First Dates,-2004,6.8,48,317985
Hauru no ugoku shiro,-2004,8.2,80,311644
Hellboy,-2004,6.8,72,301040
National Treasure,-2004,6.8,39,297185
Meet the Fockers,-2004,6.3,41,247127
Van Helsing,-2004,6.1,35,238954
The Village,-2004,6.5,44,236956
Dawn of the Dead,-2004,7.3,59,228958
Before Sunset,-2004,8,90,225164
Dodgeball: A True Underdog Story,-2004,6.7,55,223687
The Passion of the Christ,-2004,7.2,47,211197
The Chronicles of Riddick,-2004,6.7,38,210885
Garden State,-2004,7.4,67,204553
Closer,(I) (2004),7.2,65,198402
The Girl Next Door,-2004,6.7,47,197009
Finding Neverland,-2004,7.7,67,195389
Napoleon Dynamite,-2004,6.9,64,193290
A Series of Unfortunate Events,-2004,6.8,62,191690
EuroTrip,-2004,6.6,45,189946
Resident Evil: Apocalypse,-2004,6.2,35,182334
AVP: Alien vs. Predator,-2004,5.6,29,180568
Harold & Kumar Go to White Castle,-2004,7.1,64,178370
Batman Begins,-2005,8.2,70,1265554
V for Vendetta,-2005,8.2,62,999831
Sin City,-2005,8,74,730683
Star Wars: Episode III - Revenge of the Sith,-2005,7.5,68,688483
Harry Potter and the Goblet of Fire,-2005,7.7,81,524213
Mr. & Mrs. Smith,-2005,6.5,55,438852
Charlie and the Chocolate Factory,-2005,6.6,72,412274
War of the Worlds,-2005,6.5,73,405627
The 40 Year Old Virgin,-2005,7.1,73,382657
King Kong,-2005,7.2,81,381910
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",-2005,6.9,75,356095
Madagascar,-2005,6.9,57,354401
Wedding Crashers,-2005,6.9,64,325644
Brokeback Mountain,-2005,7.7,87,314301
Fantastic Four,(I) (2005),5.7,40,306119
The Island,-2005,6.8,50,295857
Constantine,-2005,7,50,295687
Hitch,(I) (2005),6.6,58,289807
Lord of War,-2005,7.6,62,287939
Serenity,-2005,7.8,74,278269
Kingdom of Heaven,-2005,7.2,63,260694
Pride & Prejudice,-2005,7.8,82,244047
Corpse Bride,-2005,7.3,83,235246
Walk the Line,-2005,7.8,72,227434
Saw II,-2005,6.6,40,227347
A History of Violence,-2005,7.4,81,218836
Thank You for Smoking,-2005,7.6,71,210412
Kiss Kiss Bang Bang,-2005,7.5,72,209750
Munich,-2005,7.5,74,206520
Match Point,-2005,7.6,72,201205
The Descent,-2005,7.2,71,195068
Transporter 2,-2005,6.3,56,187498
The Hitchhiker's Guide to the Galaxy,-2005,6.8,63,183216
Cinderella Man,-2005,8,69,172401
Jarhead,-2005,7,58,171501
Hostel,-2005,5.9,55,165531
The Longest Yard,-2005,6.4,48,158062
Hard Candy,-2005,7.1,58,151011
Flightplan,-2005,6.3,53,149220
Hooligans,-2005,7.5,55,139027
Batman Begins,-2005,8.2,70,1265554
V for Vendetta,-2005,8.2,62,999831
Sin City,-2005,8,74,730683
Star Wars: Episode III - Revenge of the Sith,-2005,7.5,68,688483
Harry Potter and the Goblet of Fire,-2005,7.7,81,524213
Mr. & Mrs. Smith,-2005,6.5,55,438852
Charlie and the Chocolate Factory,-2005,6.6,72,412274
War of the Worlds,-2005,6.5,73,405627
The 40 Year Old Virgin,-2005,7.1,73,382657
King Kong,-2005,7.2,81,381910
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",-2005,6.9,75,356095
Madagascar,-2005,6.9,57,354401
Wedding Crashers,-2005,6.9,64,325644
Brokeback Mountain,-2005,7.7,87,314301
Fantastic Four,(I) (2005),5.7,40,306119
The Island,-2005,6.8,50,295857
Constantine,-2005,7,50,295687
Hitch,(I) (2005),6.6,58,289807
Lord of War,-2005,7.6,62,287939
Serenity,-2005,7.8,74,278269
Kingdom of Heaven,-2005,7.2,63,260694
Pride & Prejudice,-2005,7.8,82,244047
Corpse Bride,-2005,7.3,83,235246
Walk the Line,-2005,7.8,72,227434
Saw II,-2005,6.6,40,227347
A History of Violence,-2005,7.4,81,218836
Thank You for Smoking,-2005,7.6,71,210412
Kiss Kiss Bang Bang,-2005,7.5,72,209750
Munich,-2005,7.5,74,206520
Match Point,-2005,7.6,72,201205
The Descent,-2005,7.2,71,195068
Transporter 2,-2005,6.3,56,187498
The Hitchhiker's Guide to the Galaxy,-2005,6.8,63,183216
Cinderella Man,-2005,8,69,172401
Jarhead,-2005,7,58,171501
Hostel,-2005,5.9,55,165531
The Longest Yard,-2005,6.4,48,158062
Hard Candy,-2005,7.1,58,151011
Flightplan,-2005,6.3,53,149220
Hooligans,-2005,7.5,55,139027
Batman Begins,-2005,8.2,70,1265554
V for Vendetta,-2005,8.2,62,999831
Sin City,-2005,8,74,730683
Star Wars: Episode III - Revenge of the Sith,-2005,7.5,68,688483
Harry Potter and the Goblet of Fire,-2005,7.7,81,524213
Mr. & Mrs. Smith,-2005,6.5,55,438852
Charlie and the Chocolate Factory,-2005,6.6,72,412274
War of the Worlds,-2005,6.5,73,405627
The 40 Year Old Virgin,-2005,7.1,73,382657
King Kong,-2005,7.2,81,381910
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",-2005,6.9,75,356095
Madagascar,-2005,6.9,57,354401
Wedding Crashers,-2005,6.9,64,325644
Brokeback Mountain,-2005,7.7,87,314301
Fantastic Four,(I) (2005),5.7,40,306119
The Island,-2005,6.8,50,295857
Constantine,-2005,7,50,295687
Hitch,(I) (2005),6.6,58,289807
Lord of War,-2005,7.6,62,287939
Serenity,-2005,7.8,74,278269
Kingdom of Heaven,-2005,7.2,63,260694
Pride & Prejudice,-2005,7.8,82,244047
Corpse Bride,-2005,7.3,83,235246
Walk the Line,-2005,7.8,72,227434
Saw II,-2005,6.6,40,227347
A History of Violence,-2005,7.4,81,218836
Thank You for Smoking,-2005,7.6,71,210412
Kiss Kiss Bang Bang,-2005,7.5,72,209750
Munich,-2005,7.5,74,206520
Match Point,-2005,7.6,72,201205
The Descent,-2005,7.2,71,195068
Transporter 2,-2005,6.3,56,187498
The Hitchhiker's Guide to the Galaxy,-2005,6.8,63,183216
Cinderella Man,-2005,8,69,172401
Jarhead,-2005,7,58,171501
Hostel,-2005,5.9,55,165531
The Longest Yard,-2005,6.4,48,158062
Hard Candy,-2005,7.1,58,151011
Flightplan,-2005,6.3,53,149220
Hooligans,-2005,7.5,55,139027
Batman Begins,-2005,8.2,70,1265554
V for Vendetta,-2005,8.2,62,999831
Sin City,-2005,8,74,730683
Star Wars: Episode III - Revenge of the Sith,-2005,7.5,68,688483
Harry Potter and the Goblet of Fire,-2005,7.7,81,524213
Mr. & Mrs. Smith,-2005,6.5,55,438852
Charlie and the Chocolate Factory,-2005,6.6,72,412274
War of the Worlds,-2005,6.5,73,405627
The 40 Year Old Virgin,-2005,7.1,73,382657
King Kong,-2005,7.2,81,381910
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",-2005,6.9,75,356095
Madagascar,-2005,6.9,57,354401
Wedding Crashers,-2005,6.9,64,325644
Brokeback Mountain,-2005,7.7,87,314301
Fantastic Four,(I) (2005),5.7,40,306119
The Island,-2005,6.8,50,295857
Constantine,-2005,7,50,295687
Hitch,(I) (2005),6.6,58,289807
Lord of War,-2005,7.6,62,287939
Serenity,-2005,7.8,74,278269
Kingdom of Heaven,-2005,7.2,63,260694
Pride & Prejudice,-2005,7.8,82,244047
Corpse Bride,-2005,7.3,83,235246
Walk the Line,-2005,7.8,72,227434
Saw II,-2005,6.6,40,227347
A History of Violence,-2005,7.4,81,218836
Thank You for Smoking,-2005,7.6,71,210412
Kiss Kiss Bang Bang,-2005,7.5,72,209750
Munich,-2005,7.5,74,206520
Match Point,-2005,7.6,72,201205
The Descent,-2005,7.2,71,195068
Transporter 2,-2005,6.3,56,187498
The Hitchhiker's Guide to the Galaxy,-2005,6.8,63,183216
Cinderella Man,-2005,8,69,172401
Jarhead,-2005,7,58,171501
Hostel,-2005,5.9,55,165531
The Longest Yard,-2005,6.4,48,158062
Hard Candy,-2005,7.1,58,151011
Flightplan,-2005,6.3,53,149220
Hooligans,-2005,7.5,55,139027
The Departed,-2006,8.5,85,1147061
The Prestige,-2006,8.5,66,1140250
300,-2006,7.6,52,718246
Pirates of the Caribbean: Dead Man's Chest,-2006,7.3,53,639716
Pan's Labyrinth,-2006,8.2,98,601750
Casino Royale,-2006,8,80,565761
Blood Diamond,-2006,8,64,485415
X-Men: The Last Stand,-2006,6.7,58,472438
Children of Men,-2006,7.9,84,450897
The Pursuit of Happyness,-2006,8,64,432008
Little Miss Sunshine,-2006,7.8,80,428055
The Da Vinci Code,-2006,6.6,46,389824
The Devil Wears Prada,-2006,6.9,62,358641
Cars,-2006,7.1,73,353866
The Illusionist,-2006,7.6,68,348545
The Lives of Others,-2006,8.4,89,345633
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,-2006,7.3,89,344244
Inside Man,-2006,7.6,76,327771
Mission: Impossible III,-2006,6.9,66,321305
Night at the Museum,-2006,6.4,48,304347
Click,-2006,6.4,45,297782
Lucky Number Slevin,-2006,7.7,53,295527
Deja Vu,-2006,7,59,286810
Babel,(I) (2006),7.4,69,283403
Apocalypto,-2006,7.8,68,283286
Superman Returns,-2006,6,72,267082
Ice Age: The Meltdown,-2006,6.8,58,248894
The Holiday,-2006,6.9,52,234220
The Fast and the Furious: Tokyo Drift,-2006,6,45,233738
Crank,-2006,6.9,57,229702
Perfume: The Story of a Murderer,-2006,7.5,56,229496
The Fountain,-2006,7.2,51,223696
Stranger Than Fiction,-2006,7.5,67,214148
Silent Hill,-2006,6.5,31,209697
Rocky Balboa,-2006,7.1,63,199383
Underworld: Evolution,-2006,6.7,36,186259
Saw III,-2006,6.2,48,174007
The Last King of Scotland,-2006,7.7,74,171677
Happy Feet,-2006,6.4,77,165470
Talladega Nights: The Ballad of Ricky Bobby,-2006,6.6,66,162661
Over the Hedge,-2006,6.7,67,155190
The Hills Have Eyes,-2006,6.4,52,154925
Letters from Iwo Jima,-2006,7.9,89,151151
She's the Man,-2006,6.3,45,142537
Idiocracy,-2006,6.6,66,139689
The Departed,-2006,8.5,85,1147061
The Prestige,-2006,8.5,66,1140250
300,-2006,7.6,52,718246
Pirates of the Caribbean: Dead Man's Chest,-2006,7.3,53,639716
Pan's Labyrinth,-2006,8.2,98,601750
Casino Royale,-2006,8,80,565761
Blood Diamond,-2006,8,64,485415
X-Men: The Last Stand,-2006,6.7,58,472438
Children of Men,-2006,7.9,84,450897
The Pursuit of Happyness,-2006,8,64,432008
Little Miss Sunshine,-2006,7.8,80,428055
The Da Vinci Code,-2006,6.6,46,389824
The Devil Wears Prada,-2006,6.9,62,358641
Cars,-2006,7.1,73,353866
The Illusionist,-2006,7.6,68,348545
The Lives of Others,-2006,8.4,89,345633
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,-2006,7.3,89,344244
Inside Man,-2006,7.6,76,327771
Mission: Impossible III,-2006,6.9,66,321305
Night at the Museum,-2006,6.4,48,304347
Click,-2006,6.4,45,297782
Lucky Number Slevin,-2006,7.7,53,295527
Deja Vu,-2006,7,59,286810
Babel,(I) (2006),7.4,69,283403
Apocalypto,-2006,7.8,68,283286
Superman Returns,-2006,6,72,267082
Ice Age: The Meltdown,-2006,6.8,58,248894
The Holiday,-2006,6.9,52,234220
The Fast and the Furious: Tokyo Drift,-2006,6,45,233738
Crank,-2006,6.9,57,229702
Perfume: The Story of a Murderer,-2006,7.5,56,229496
The Fountain,-2006,7.2,51,223696
Stranger Than Fiction,-2006,7.5,67,214148
Silent Hill,-2006,6.5,31,209697
Rocky Balboa,-2006,7.1,63,199383
Underworld: Evolution,-2006,6.7,36,186259
Saw III,-2006,6.2,48,174007
The Last King of Scotland,-2006,7.7,74,171677
Happy Feet,-2006,6.4,77,165470
Talladega Nights: The Ballad of Ricky Bobby,-2006,6.6,66,162661
Over the Hedge,-2006,6.7,67,155190
The Hills Have Eyes,-2006,6.4,52,154925
Letters from Iwo Jima,-2006,7.9,89,151151
She's the Man,-2006,6.3,45,142537
Idiocracy,-2006,6.6,66,139689
The Departed,-2006,8.5,85,1147061
The Prestige,-2006,8.5,66,1140250
300,-2006,7.6,52,718246
Pirates of the Caribbean: Dead Man's Chest,-2006,7.3,53,639716
Pan's Labyrinth,-2006,8.2,98,601750
Casino Royale,-2006,8,80,565761
Blood Diamond,-2006,8,64,485415
X-Men: The Last Stand,-2006,6.7,58,472438
Children of Men,-2006,7.9,84,450897
The Pursuit of Happyness,-2006,8,64,432008
Little Miss Sunshine,-2006,7.8,80,428055
The Da Vinci Code,-2006,6.6,46,389824
The Devil Wears Prada,-2006,6.9,62,358641
Cars,-2006,7.1,73,353866
The Illusionist,-2006,7.6,68,348545
The Lives of Others,-2006,8.4,89,345633
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,-2006,7.3,89,344244
Inside Man,-2006,7.6,76,327771
Mission: Impossible III,-2006,6.9,66,321305
Night at the Museum,-2006,6.4,48,304347
Click,-2006,6.4,45,297782
Lucky Number Slevin,-2006,7.7,53,295527
Deja Vu,-2006,7,59,286810
Babel,(I) (2006),7.4,69,283403
Apocalypto,-2006,7.8,68,283286
Superman Returns,-2006,6,72,267082
Ice Age: The Meltdown,-2006,6.8,58,248894
The Holiday,-2006,6.9,52,234220
The Fast and the Furious: Tokyo Drift,-2006,6,45,233738
Crank,-2006,6.9,57,229702
Perfume: The Story of a Murderer,-2006,7.5,56,229496
The Fountain,-2006,7.2,51,223696
Stranger Than Fiction,-2006,7.5,67,214148
Silent Hill,-2006,6.5,31,209697
Rocky Balboa,-2006,7.1,63,199383
Underworld: Evolution,-2006,6.7,36,186259
Saw III,-2006,6.2,48,174007
The Last King of Scotland,-2006,7.7,74,171677
Happy Feet,-2006,6.4,77,165470
Talladega Nights: The Ballad of Ricky Bobby,-2006,6.6,66,162661
Over the Hedge,-2006,6.7,67,155190
The Hills Have Eyes,-2006,6.4,52,154925
Letters from Iwo Jima,-2006,7.9,89,151151
She's the Man,-2006,6.3,45,142537
Idiocracy,-2006,6.6,66,139689
The Departed,-2006,8.5,85,1147061
The Prestige,-2006,8.5,66,1140250
300,-2006,7.6,52,718246
Pirates of the Caribbean: Dead Man's Chest,-2006,7.3,53,639716
Pan's Labyrinth,-2006,8.2,98,601750
Casino Royale,-2006,8,80,565761
Blood Diamond,-2006,8,64,485415
X-Men: The Last Stand,-2006,6.7,58,472438
Children of Men,-2006,7.9,84,450897
The Pursuit of Happyness,-2006,8,64,432008
Little Miss Sunshine,-2006,7.8,80,428055
The Da Vinci Code,-2006,6.6,46,389824
The Devil Wears Prada,-2006,6.9,62,358641
Cars,-2006,7.1,73,353866
The Illusionist,-2006,7.6,68,348545
The Lives of Others,-2006,8.4,89,345633
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,-2006,7.3,89,344244
Inside Man,-2006,7.6,76,327771
Mission: Impossible III,-2006,6.9,66,321305
Night at the Museum,-2006,6.4,48,304347
Click,-2006,6.4,45,297782
Lucky Number Slevin,-2006,7.7,53,295527
Deja Vu,-2006,7,59,286810
Babel,(I) (2006),7.4,69,283403
Apocalypto,-2006,7.8,68,283286
Superman Returns,-2006,6,72,267082
Ice Age: The Meltdown,-2006,6.8,58,248894
The Holiday,-2006,6.9,52,234220
The Fast and the Furious: Tokyo Drift,-2006,6,45,233738
Crank,-2006,6.9,57,229702
Perfume: The Story of a Murderer,-2006,7.5,56,229496
